household_id,household_id2,ea_id,ea_id2,coord_desc,dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2013_eviarea,h2013_evimax,h2013_grn,h2013_sen,lat_dd_mod,lon_dd_mod
01010500204073,010105088800204073,01010500204,010105088800204,1,26.2,31.5,75.1,146.7,174.9,50-100,262,255,721,223,538,63,14,312,1085,12,8,1,1,4,1,1,1,4,1010,788,18,1578,800,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204097,010105088800204097,01010500204,010105088800204,1,26.1,31.4,75.1,146.8,174.7,50-100,262,255,721,223,538,56,30,312,1090,12,8,1,1,4,1,1,1,4,1009,788,18,1579,800,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204121,010105088800204121,01010500204,010105088800204,1,27.7,33.2,75.2,145,176.4,50-100,263,256,714,221,534,54,30,312,1077,12,8,1,1,4,1,1,1,4,1014,793,18,1572,798,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204142,010105088800204142,01010500204,010105088800204,1,26,31.4,75.2,146.8,174.8,50-100,262,255,721,223,538,56,30,312,1091,12,8,1,1,4,1,1,1,4,1009,788,18,1578,800,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204145,010105088800204145,01010500204,010105088800204,1,26,31.4,75.3,146.7,174.8,50-100,262,255,721,223,538,56,30,312,1091,12,8,1,1,4,1,1,1,4,1009,788,18,1578,800,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204169,010105088800204169,01010500204,010105088800204,1,25.8,31.2,75.4,147,174.7,50-100,263,256,714,221,532,59,14,312,1087,12,8,1,1,4,1,1,1,4,1008,787,18,1579,800,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204193,010105088800204193,01010500204,010105088800204,1,25,30.4,75.1,147.8,173.9,50-100,261,254,725,224,541,85,14,312,1129,13,8,1,1,4,1,1,1,4,1007,786,18,1583,801,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010500204217,010105088800204217,01010500204,010105088800204,1,25,30.4,74.6,147.8,173.7,50-100,261,254,725,224,541,95,14,312,1119,13,8,1,1,4,1,1,1,4,1009,787,18,1584,802,20,47,0.4355,178,257,45,0.4397,185,260,14.0862760222,37.9831865445
01010600402002,010106088800402002,01010600402,010106088800402,1,2.3,54.2,22.9,175.4,147.2,50-100,246,236,782,243,589,37,30,322,1324,13,8,1,1,1,1,1,1,2,1012,788,18,1568,835,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402014,010106088800402014,01010600402,010106088800402,1,2.3,54.2,22.9,175.4,147.3,50-100,246,236,782,243,589,37,30,322,1324,13,8,1,1,1,1,1,1,2,1012,788,18,1568,835,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402021,010106088800402021,01010600402,010106088800402,1,2.5,54,23.1,175.1,147.4,50-100,246,236,782,243,589,34,30,322,1325,14,8,1,1,1,1,1,1,2,1012,788,18,1568,834,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402039,010106088800402039,01010600402,010106088800402,1,2.5,54,23,175.1,147.4,50-100,246,236,782,243,589,34,30,322,1325,13,8,1,1,1,1,1,1,2,1012,788,18,1568,834,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402057,010106088800402057,01010600402,010106088800402,1,1.7,54.9,22.2,176.1,146.7,50-100,245,235,786,245,593,23,110,322,1307,13,8,1,1,1,1,1,1,2,1012,789,18,1569,837,21,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402075,010106088800402075,01010600402,010106088800402,1,3.8,54.3,22.8,173.8,148.8,50-100,244,234,795,247,600,35,110,322,1342,10,8,1,1,1,1,1,1,2,1015,790,18,1571,836,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402094,010106088800402094,01010600402,010106088800402,1,4.2,55.5,21.6,173.7,149.3,50-100,246,235,787,244,593,42,20,322,1305,13,8,1,1,1,1,1,1,2,1018,794,18,1575,840,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402112,010106088800402112,01010600402,010106088800402,1,5,56.3,20.9,173.1,150.2,50-100,246,236,786,244,592,33,20,322,1294,10,8,1,1,1,1,1,1,2,1021,796,18,1577,842,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402130,010106088800402130,01010600402,010106088800402,1,4.9,54.6,22.6,172.8,149.9,50-100,245,234,792,246,597,31,30,322,1310,13,3,1,1,1,1,1,1,2,1018,792,18,1574,838,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402148,010106088800402148,01010600402,010106088800402,1,4.5,53.4,23.7,173.1,149.2,50-100,244,233,797,247,600,33,30,322,1332,13,3,1,1,1,1,1,1,2,1014,789,18,1570,834,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
01010600402160,010106088800402160,01010600402,010106088800402,1,2.4,53.8,23.3,175.2,147.3,50-100,246,236,782,243,589,33,30,322,1323,12,8,1,1,1,1,1,1,2,1011,787,18,1567,833,20,47,0.4355,178,257,45,0.4397,185,260,13.642517176,38.1191822345
