"household_id2","ea_id2","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","pop_density","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","srtm","twi","srtm_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2015_tot","h2015_wetQ","h2015_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2015_eviarea","h2015_evimax","h2015_grn","h2015_sen","lat_dd_mod","lon_dd_mod"
"010107010100116104","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,38,30,322,1899,16,8,1,1,2,1,1,1,2,1020,832,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116127","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,40,110,322,1899,16,8,1,1,2,1,1,1,2,1020,832,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116150","010107010100116",1,1,77,177,147,"1000-2000",204,194,907,297,692,27,20,322,1919,11,8,1,1,2,1,1,1,2,1017,830,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116173","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,40,110,322,1901,13,8,1,1,2,1,1,1,2,1020,833,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116196","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,25,110,322,1903,13,3,1,1,2,1,1,1,2,1019,832,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116219","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,28,110,322,1902,16,3,1,1,2,1,1,1,2,1020,832,18,1510,1200,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116242","010107010100116",1,2,77,176,147,"2000-5000",206,196,903,295,689,40,30,322,1888,13,8,1,1,2,1,1,1,2,1020,832,18,1508,1193,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116265","010107010100116",0,1,77,177,147,"2000-5000",203,193,910,298,694,28,110,322,1906,13,3,1,1,2,1,1,1,2,1020,833,18,1511,1200,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116288","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,28,110,322,1903,15,3,1,1,2,1,1,1,2,1020,833,18,1510,1200,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116311","010107010100116",0,1,77,177,147,"2000-5000",204,194,907,297,692,40,110,322,1901,13,8,1,1,2,1,1,1,2,1020,833,18,1510,1199,17,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010107010100116334","010107010100116",26,27,98,165,168,"1000-2000",217,209,853,277,650,13,110,322,1838,13,13,1,1,2,1,1,1,2,944,756,18,1455,1070,18,46,0.432,177,257,40,0.386,173,256,14.1005955542,38.2661417342
"010201088800207002","010201088800207",19,28,100,204,135,"50-100",214,209,754,240,560,23,110,322,1713,13,13,1,1,5,1,1,1,4,841,684,18,1320,1064,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207012","010201088800207",18,27,99,205,134,"50-100",214,209,750,239,558,28,30,322,1766,11,8,1,1,5,1,1,1,4,842,684,18,1314,1060,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207017","010201088800207",18,27,99,205,133,"50-100",214,209,750,239,558,23,110,322,1753,11,13,1,1,5,1,1,1,4,842,684,18,1313,1060,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207027","010201088800207",18,27,99,205,134,"500-1000",214,209,750,239,558,36,30,322,1747,12,8,1,1,5,1,1,1,4,841,683,18,1313,1060,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207047","010201088800207",17,25,98,206,132,"50-100",211,206,752,241,560,34,30,322,1763,12,8,1,1,5,1,1,1,4,840,683,18,1304,1055,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207062","010201088800207",17,25,98,206,132,"50-100",211,206,752,241,560,36,30,322,1764,12,8,1,1,5,1,1,1,4,841,684,18,1304,1055,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207077","010201088800207",17,26,98,206,132,"50-100",213,207,754,241,561,27,110,322,1749,15,8,1,1,5,1,1,1,4,841,684,18,1306,1056,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207092","010201088800207",16,24,97,207,130,"100-200",213,207,749,239,557,36,30,322,1756,13,13,1,1,5,1,1,1,4,840,683,18,1291,1046,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207107","010201088800207",16,24,97,207,131,"50-100",212,207,751,240,559,28,30,322,1747,11,13,1,1,5,1,1,1,4,842,684,18,1296,1049,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207122","010201088800207",16,25,98,207,131,"50-100",212,207,751,240,559,33,30,322,1778,12,8,1,1,5,1,1,1,4,841,684,18,1298,1051,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010201088800207137","010201088800207",18,28,101,203,135,"50-100",223,218,748,234,550,13,110,322,1648,11,13,1,1,5,1,1,1,4,847,688,18,1321,1064,18,36,0.355,182,255,32,0.329,182,252,14.2834679193,38.5730157222
"010202020100107008","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1992,12,8,1,1,4,1,1,1,4,611,479,18,934,815,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107034","010202020100107",0,31,34,271,93,"5000-10000",190,192,635,180,411,20,110,322,1994,12,8,1,1,4,1,1,1,4,611,480,18,935,816,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107047","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1992,12,8,1,1,4,1,1,1,4,611,479,18,935,815,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107073","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1998,13,8,1,1,4,1,1,1,4,611,480,18,935,816,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107086","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1987,18,8,1,1,4,1,1,1,4,611,479,18,934,815,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107099","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1994,15,8,1,1,4,1,1,1,4,612,480,18,935,816,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107112","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1994,15,8,1,1,4,1,1,1,4,611,480,18,935,815,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
"010202020100107125","010202020100107",0,31,33,271,93,"5000-10000",190,192,635,180,411,20,110,322,1996,14,8,1,1,4,1,1,1,4,612,480,18,935,816,19,36,0.355,182,255,32,0.329,182,252,14.2762502474,39.1567179226
